Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble
27-11-2007,MUNDRAPORT,EQ,440,770,1050,770,959,962.9,984.72,27294366,2687720000000000,9859619,0.3612
28-11-2007,MUNDRAPORT,EQ,962.9,984,990,874,885,893.9,941.38,4581338,431277000000000,1453278,0.3172
29-11-2007,MUNDRAPORT,EQ,893.9,909,914.75,841,887,884.2,888.09,5124121,455066000000000,1069678,0.2088
30-11-2007,MUNDRAPORT,EQ,884.2,890,958,890,929,921.55,929.17,4609762,428326000000000,1260913,0.2735
03-12-2007,MUNDRAPORT,EQ,921.55,939.75,995,922,980,969.3,965.65,2977470,287520000000000,816123,0.2741
04-12-2007,MUNDRAPORT,EQ,969.3,985,1056,976,1049,1041.45,1015.39,4849250,492387000000000,1537667,0.3171
05-12-2007,MUNDRAPORT,EQ,1041.45,1061,1099.5,1050,1084,1082.45,1082.79,2848209,308401000000000,904260,0.3175
06-12-2007,MUNDRAPORT,EQ,1082.45,1089,1109.7,1051,1090.1,1081.3,1087.03,1749516,190177000000000,825691,0.472
07-12-2007,MUNDRAPORT,EQ,1081.3,1100,1134,1078,1100,1102.4,1106.57,2247904,248747000000000,697763,0.3104
10-12-2007,MUNDRAPORT,EQ,1102.4,1110,1110,1061.1,1073.55,1075.4,1080.38,1012350,109373000000000,417514,0.4124
11-12-2007,MUNDRAPORT,EQ,1075.4,1081,1089,1041,1046,1047.65,1067.8,810464,86541600000000,415191,0.5123
12-12-2007,MUNDRAPORT,EQ,1047.65,1032,1065,1016,1036.9,1036.8,1043.92,744799,77751400000000,363848,0.4885
13-12-2007,MUNDRAPORT,EQ,1036.8,1040,1150,1030.25,1131.15,1129.95,1109.09,3067687,340234000000000,1040076,0.339
14-12-2007,MUNDRAPORT,EQ,1129.95,1139.9,1140,1101.1,1107,1110.5,1119.55,1070737,119875000000000,525239,0.4905
17-12-2007,MUNDRAPORT,EQ,1110.5,1140,1168,1021.5,1052,1044.25,1102.42,1404955,154885000000000,670298,0.4771
